Year,Country / territory of asylum/residence,Location Name,Female 0-4,Female 5-11,Female 5-17,Female 12-17,Female 18-59,Female 60+,F: Unknown,F: Total,Male 0-4,Male 5-11,Male 5-17,Male 12-17,Male 18-59,Male 60+,M: Unknown,M: Total,Overall total
#date+year,#country+residence,#loc+name,#affected+f+children+age0_4,#affected+f+children+age5_11,#affected+f+children+age5_17,#affected+f+adolescents+age12_17,#affected+f+adults+age18_59,#affected+f+elderly+age60plus,#affected+f+other,#affected+f+total,#affected+m+children+age0_4,#affected+m+children+age5_11,#affected+m+children+age5_17,#affected+m+adolescents+age12_17,#affected+m+adults+age18_59,#affected+m+elderly+age60plus,#affected+m+other,#affected+m+total,#affected+all+total
2018,Colombia,Monterrey,0,0,,0,0,*,,*,0,0,,0,0,0,,0
2018,Colombia,Neiva,0,*,,0,*,0,,*,0,0,,0,*,0,,*
2018,Colombia,Pasto,0,*,,*,*,0,,*,0,*,,0,*,0,,*
2018,Colombia,Pereira : Municipality,*,0,,*,6,0,,8,*,*,,0,*,0,,6
2018,Colombia,Popayán,0,0,,0,0,0,,0,0,0,,0,*,0,,*
2018,Colombia,Puerto Carreño,0,0,,0,*,0,,*,0,0,,0,*,0,,*
2018,Colombia,Quibdó,0,0,,0,0,0,,0,0,0,,0,*,0,,*
2018,Colombia,Riohacha,0,*,,8,7,0,,19,*,0,,0,21,0,,23
2018,Colombia,San Andres Islas : Department,0,0,,0,*,*,,*,0,0,,0,*,*,,*
2018,Colombia,Sincelejo,0,0,,*,0,0,,*,0,0,,0,*,0,,*
2018,Colombia,Tuluá: Point,0,*,,0,*,0,,*,0,*,,0,*,0,,*
2018,Colombia,Tumaco : Municipality,0,0,,*,*,0,,*,0,0,,*,0,0,,*
2018,Colombia,Tunja,0,0,,*,*,0,,*,*,*,,*,5,0,,9
2018,Colombia,Villavicencio,5,10,,5,55,0,,75,*,8,,0,19,*,,30
